5,9.92683,0.260417
10,19.4146,0.825674
15,29.1951,1.13093
20,39.1951,0.916502
25,48.0976,1.73634
30,59.878,0.394791
35,67.8781,1.41757
40,77.2195,1.9445
45,86.2195,3.71229
50,95.2195,2.9093
55,109.293,1.15281
60,115.805,2.56828
65,122.951,9.35206
70,135.268,3.29097
75,148.39,1.32293
80,157.22,2.203245,10,0
50,99.1667,1.86339
50,98.3333,2.0548
50,98.3333,2.21108
20,1579.67,1.88562
20,40.3333,1.24722
20,39.8333,0.897527
20,40,1.52753
20,39.8333,0.372678
20,40.1667,0.897527
20,40.8333,1.95078
20,39,2.16025
20,40.1667,0.372678
20,39.5455,0.655555
20,38.9756,1.15796
5,10,0
10,19.8049,0.396295
15,29.3902,1.14504
20,39.3415,1.07317
25,48.9756,1.31572
30,57.7805,4.11133
35,68.2927,2.99792
40,78.2439,1.28368
45,88.0732,1.87916
50,97.6098,3.92539
55,108.341,1.93315
60,117.878,2.70677
65,129.415,1.22923
70,137.561,6.44697
75,146.854,1.91987
80,151.756,11.6969
